developer_name,folder_category,source_file,source_format,file_size_kb,records_extracted_count,extraction_engines_used,status
Sattva Group,Sattva Group (Salarpuria Sattva),Sattva Group (Salarpuria Sattva)\Sattva Commercial Lease Inventory List _June_26.pdf,PDF_NATIVE,441.46,1,PDF Inventory Record,100% EXTRACTED
Sattva Group,Sattva Group (Salarpuria Sattva),Sattva Group (Salarpuria Sattva)\Sattva Commercial Sale Inventory List _June26.pdf,PDF_NATIVE,426.15,1,PDF Inventory Record,100% EXTRACTED
Sattva Group,Sattva Group (Salarpuria Sattva),Sattva Group (Salarpuria Sattva)\Sattva_Commercial Space Availability - June26.pdf,PDF_NATIVE,8790.38,14,"PDF Table (Pg 5), PDF Table (Pg 6), PDF Table (Pg 7), PDF Text Analysis (Pg 2)",100% EXTRACTED
Skav Group,Skav Group,Skav Group\July  2026 Comm Inventory.pdf,PDF_NATIVE,4789.7,34,"PDF Table (Pg 3), PDF Table (Pg 5), PDF Table (Pg 6), PDF Text Analysis (Pg 10), PDF Text Analysis (Pg 7), PDF Text Analysis (Pg 8), PDF Text Analysis (Pg 9)",100% EXTRACTED
Sobha Limited,Sobha Limited,Sobha Limited\Arcadia_FoodHall_Lwres_Presentation_02.03.26.pdf,PDF_NATIVE,7833.52,31,"PDF Table (Pg 4), PDF Table (Pg 5), PDF Text Analysis (Pg 2)",100% EXTRACTED
Sobha Limited,Sobha Limited,Sobha Limited\FOOD HALL at SOBHA ARCADIA.pdf,PDF_NATIVE,1088.05,1,PDF Text Analysis (Pg 1),100% EXTRACTED
Sobha Limited,Sobha Limited,Sobha Limited\Sobha Arcadia Rent Card 04032026.pdf,PDF_NATIVE,19.38,1,PDF Inventory Record,100% EXTRACTED
Umiya Group,Umiya Group,Umiya Group\Commercial Availability List July 2026  UMIYA GROUP.pdf,PDF_NATIVE,180.36,16,PDF Table (Pg 1),100% EXTRACTED
Vaishnavi Group,Vaishnavi Group,Vaishnavi Group\Senate Commercials.pdf,PDF_NATIVE,63.6,8,PDF Table (Pg 1),100% EXTRACTED
Vaishnavi Group,Vaishnavi Group,Vaishnavi Group\Vaishnavi BVS Senate  IM.pdf,PDF_NATIVE,4310.49,1,PDF Text Analysis (Pg 2),100% EXTRACTED
Vaswani Group,Vaswani Group,Vaswani Group\OFFICE_SPACE_@_Vaswani_Centropolis 2.pdf,PDF_SCANNED,2355.21,5,"Tesseract OCR Scanned PDF (Pg 1), Tesseract OCR Scanned PDF (Pg 2), Tesseract OCR Scanned PDF (Pg 3), Tesseract OCR Scanned PDF (Pg 4), Tesseract OCR Scanned PDF (Pg 5)",100% EXTRACTED
